adult,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genres,production_companies,production_countries,spoken_languages,belongs_to_collection,characters,cast,director,screenplay,keywords
False,0,,60700,tt1282371,ar,أسف علي الازعاج,"Hassan, a brilliant aviation engineer struggles with loneliness and depression while trying to design his exceptional project.",0.326323,/lvJpRvMzseQ1xvzMDHZO3PkBhcD.jpg,2008-09-01,0.0,120.0,Released,,Sorry for the Disturbance,False,5.0,4.0,"['Comedy', ', Drama', ', Mystery']",['null'],['Egypt'],['ar'],,"['', ', ']","['Ahmed Helmy', ', Menna Shalabi']",Khaled Marei,,"['imaginary friend', ', psychological drama']"
False,0,,53367,tt0379730,en,Charlie: The Life and Art of Charles Chaplin,"Brilliant, long in-the-works story of the life and art of the world's greatest comedian and the cinema's first genius, Charlie Chaplin. Produced, written and directed by renowned film critic Richard Schickel.",10.351391,/tRRZEEfEoalQd74h9TWQfN6a0YH.jpg,2003-05-01,0.0,132.0,Released,,Charlie: The Life and Art of Charles Chaplin,False,6.5,27.0,['Documentary'],['null'],['United States of America'],['en'],,"['Narrator', ', Woody Allen', ', Richard Attenborough', ', Jeanine Basinger', ', Claire Bloom']","['Sydney Pollack', ', Woody Allen', ', Richard Attenborough', ', Jeanine Basinger', ', Claire Bloom']",Richard Schickel,,['biography']
False,35866397,,11516,tt0301727,fr,Le peuple migrateur,"The cameras of Jacques Perrin fly with migratory birds: geese, storks, cranes. The film begins with spring in North America and the migration to the Arctic; the flight is a community event for each species. Once in the Arctic, it's family time: courtship, nests, eggs, fledglings, and first flight. Chicks must soon fly south. Bad weather, hunters, and pollution take their toll. Then, the cameras go",3.68993,/qY1l18Zri3Mdc0iBr0QYjCWlFVP.jpg,2001-12-12,20217080.0,98.0,Released,,Winged Migration,False,7.1,50.0,['Documentary'],"['Bac Films', ', Pandora Filmproduktion', ', Procirep', ', Galatée Films', ', Eurimages', ', Canal+', ', Westdeutscher Rundfunk (WDR)', ', Télévision Suisse-Romande (TSR)', ', Wanda Visión S.A.', ', Conseil Régional de Franche-Comté', ', Eyescreen S.r.l.', ', France 2 Cinéma', ', Les Productions de la Guéville', ', Centre National de la Cinématographie (CNC)']","['Switzerland', ', Germany', ', Spain', ', France', ', Italy']","['en', ', fr']",,"['Narrator', ', Narrator (voice)']","['Philippe Labro', ', Jacques Perrin']",Jacques Perrin,Jean Dorst,"['ocean', ', lake', ', bird', ', horse', ', parrot', ', owl', ', ornithology', ', egg', ', flight', ', arctic', ', crab', ', stork', ', pelican']"
False,0,,15048,tt0758732,he,בופור,"BEAUFORT tells the story of LIRAZ LIBERTI, the 22 year-old outpost commander, and his troops in the months before Israel pulled out of Lebanon. This is not a story of war, but of retreat. This is a story with no enemy, only an amorphous entity that drops bombs from the skies while terrified young soldiers must find a way to carry out their mission until their very last minutes on that mountaintop.",2.449338,/t1gDtBej3CvN72blWqUISUkJxUs.jpg,2007-02-02,0.0,131.0,Released,,Beaufort,False,7.0,13.0,"['History', ', Drama']",['Metro Communications'],['Israel'],['he'],,"[""Lieutenant Liraz 'Erez' Librati, bunker commander"", ', Brigadier-General Kimchi, division commander', ', Lieutenant Ziv Faran, bomb disposal officer', ', Idan Koris, emergency medical technician']","['Oshri Cohen', ', Alon Aboutboul', ', Ohad Knoller', ', Itay Tiran']",Joseph Cedar,,['null']
False,0,,19972,tt0055719,en,The 300 Spartans,"Essentially true story of how Spartan king Leonidas led an extremely small army of Greek Soldiers (300 of his personal body guards from Sparta) to hold off an invading Persian army now thought to have numbered 250,000.",6.734286999999999,/4efZl9XgGOLLDbwe1nFe2qLd71g.jpg,1962-08-01,0.0,114.0,Released,,The 300 Spartans,False,6.1,36.0,"['Action', ', Drama', ', History']",['null'],['United States of America'],"['en', ', es']",,"['King Leonidas', ', Themistocles of Athens', ', Ellas', ', Phylon', ', Xerxes']","['Richard Egan', ', Ralph Richardson', ', Diane Baker', ', Barry Coe', ', David Farrar']",Rudolph Maté,,"['greece', ', soldier', ', ancient greece', ', s.a.t.']"
False,0,,65257,tt0201694,en,Longshot,"Teen Alex Taylor and his older brother Jack live in L.A. where Jack is a personal fitness trainer. Jack had an affair with Mitzi Price, a very powerful business man's wife. Her husband, Laszlo Price, then blackmails Jack into going to New York City to get information from Rachel Montgomery, about who she is selling her company to. Jack brings Alex with him to make sure that he will be safe. Jack and Rachel fall in love while Alex falls in love Rachel's daughter Kelly. Eventually Jack tells Rachel why he was sent to New York, and the two work together to bring Laszlo Price down. Rachel needs to have two million dollars in order to not sell her company. Alex wins the money in a halftime contest at a basketball game. They provide information about Laszlo Price to the police, and he is arrested.",1.187862,/ryUhIG2Bd9VOiohY4zGfZVayPay.jpg,2001-10-25,0.0,93.0,Released,,Longshot,False,0.0,0.0,"['Action', ', Comedy', ', Family', ', Thriller']",['null'],['null'],['null'],,"['Jack Taylor', ', Rachel Montgomery', ', Alex Taylor', ', Laszlo Pryce', ', Tommy Sutton']","['Tony DeCamillis', ', Hunter Tylo', ', Joey Sculthorpe', ', Paul Sorvino', ', Antonio Sabàto, Jr.']",Lionel C. Martin,,['null']
False,750000,,15979,tt1267500,en,Phoonk,No overview found.,0.6861550000000001,/lDOm0BFvcG6ZQyPzxfX4F3KM3oM.jpg,2008-08-22,2760000.0,179.0,Released,,Phoonk,False,3.5,5.0,"['Foreign', ', Horror', ', Thriller']",['One More Thought Entertainment'],['India'],['hi'],,['Rajiv'],['Sudeep'],Ram Gopal Varma,,['horror']
False,0,,95019,tt0060416,it,Un fiume di dollari,"After the Civil War ends, two soldiers return home with a cache of stolen money. They are caught by Union troops. One escapes, but the other is sent to prison for five years. When he gets out and goes home, he finds that his wife has died in poverty because his partner kept all the money, and is now a major power in the area with an army of deadly gunmen to back him up.",0.523447,/JXRQ8tUojrBOeONKoLPAbMdjYx.jpg,1966-09-09,0.0,89.0,Released,The man who had five years to think about killing... his best friend! Finally they meet...,The Hills Run Red,False,6.1,7.0,"['Action', ', Western']","['Dino de Laurentiis Cinematografica', ', C.B. Films S.A.']",['Italy'],"['en', ', it']",,"['Garcia Mendez', ', Col. Winny Getz', ', Jerry Brewster / Jim Houston', ', Mary Ann', ', Hattie Gardner']","['Henry Silva', ', Dan Duryea', ', Thomas Hunter', ', Nicoletta Machiavelli', ', Gianna Serra']",Carlo Lizzani,,['spaghetti western']
False,0,,203901,tt0049000,en,The Bespoke Overcoat,"Fender is a lowly clerk in the warehouse of clothing manufacturers Ranting and Co. His one ambition is to have an overcoat of his own. Refused one by the cold hearted Ranting he asks a tailor friend, Morry, to make him one instead, but dies of cold before he can take delivery of it. Unwilling to give up his only desire even in death, he returns as a ghost to persuade Morry to steal him the overcoat he so coveted in life.",0.94626,/zhgByZbilRV4nIOVT8iZlk8jGP8.jpg,1955-11-01,0.0,36.0,Released,,The Bespoke Overcoat,False,6.8,3.0,"['Drama', ', Fantasy']",['Remus'],['United Kingdom'],['en'],,"['Morry', ', Fender', ', Mr. Ranting', ', Gravedigger']","['David Kossoff', ', Alfie Bass', ', Alan Tilvern', ', Alan Tilvern']",Jack Clayton,Wolf Mankowitz,"['clerk', ', jew', ', funeral', ', ghost', ', coat', ', clothing store', ', poor']"
False,0,,32599,tt0065380,en,Alex in Wonderland,"Bohemian Alex Morrison has just finished directing his first feature length movie. In its previews, the movie is considered a critical, artistic and surefire commercial success. As such, Alex seemingly has his choice of what his next project will be.  Alex has a few thoughts in mind, such as a biopic of Lenny Bruce, or a movie about a black uprising in Los Angeles. As he makes the rounds both in the Hollywood community and European movie centers for ideas, he fantasizes about movie scenarios of those everyday situations he is in. These fantasies are influenced by his movie idols, some who he meets such as Italian director Federico Fellini and French actress Jeanne Moreau.  Concurrently, he is considering what to do about his personal life.  He is wondering if he and his middle-class family should ""move up"". The need for commercial success may ultimately take artistic control out of his hands.",0.488919,/3kH8QnQL4T9ApYCaBYCaLX9YOBK.jpg,1970-01-01,0.0,110.0,Released,,Alex in Wonderland,False,6.7,3.0,"['Comedy', ', Drama']","['Metro-Goldwyn-Mayer (MGM)', ', Coriander']",['United States of America'],['en'],,"['Alex Morrison', ', Beth Morrison', ', Amy', ', Nancy', ', Mother']","['Donald Sutherland', ', Ellen Burstyn', ', Meg Mazursky', ', Glenna Sargent', ', Viola Spolin']",Paul Mazursky,Paul Mazursky,['hollywood']
